"","X","ID","Age","Education","Marital_Status","Income","Kidhome","Teenhome","Dt_Customer","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Response","Complain","Country","total_children","total_amount","total_num_purchase","age_class","income_class"
"29",28,453,65,"PhD","Widow",35340,1,1,"6/29/14",1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0,"SP",2,45,5,"Boomers","Lower-Middle"
"30",29,9687,46,"Graduation","Single",73170,0,0,"5/31/14",1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,0,"CA",0,726,15,"Gen-X","Middle"
"31",30,8890,50,"PhD","Divorced",65808,1,1,"5/30/14",1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,"SP",2,272,11,"Gen-X","Middle"
"32",31,9264,35,"Graduation","Married",79529,0,0,"4/27/14",1,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,0,"CA",0,1638,21,"Millennials","Middle"
"33",32,5824,49,"PhD","Together",34578,2,1,"4/11/14",1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,"AUS",3,8,3,"Gen-X","Lower-Middle"
"34",33,5794,47,"PhD","Married",46374,0,1,"3/17/14",1,408,0,21,0,0,17,3,7,1,7,8,0,1,0,1,0,1,0,"IND",1,446,15,"Gen-X","Lower-Middle"
"35",34,3068,31,"Graduation","Married",18351,0,0,"10/29/13",1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,"SP",0,43,5,"Millennials","Poor"
"36",35,7962,34,"PhD","Single",95169,0,0,"10/9/13",1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,0,"SP",0,1901,11,"Millennials","Middle"
"37",36,2681,37,"2n Cycle","Married",65370,0,0,"8/1/13",1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,"SP",0,461,18,"Millennials","Middle"
"38",37,10141,61,"Master","Divorced",39228,0,0,"5/10/13",1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,0,"SA",0,20,3,"Boomers","Lower-Middle"
"39",38,3725,60,"PhD","Single",84865,0,0,"5/9/13",1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,1,0,"SP",0,1688,15,"Boomers","Middle"
"40",39,3767,53,"Graduation","Married",61314,0,1,"4/25/13",1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,"SP",1,1008,22,"Gen-X","Middle"
"41",40,5585,49,"Graduation","Single",21359,1,0,"4/20/13",1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,1,0,"CA",1,48,5,"Gen-X","Poor"
"42",41,7030,66,"PhD","Married",66465,0,1,"3/30/13",1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,"SP",1,1485,32,"Boomers","Middle"
"43",42,1524,38,"2n Cycle","Single",81698,0,0,"3/1/13",1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,1,0,"SP",0,1104,15,"Millennials","Middle"
"44",43,3657,35,"Graduation","Single",39146,1,0,"2/14/13",1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,0,"SP",1,165,8,"Millennials","Lower-Middle"
"45",44,5740,51,"2n Cycle","Divorced",25959,1,1,"2/14/13",1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,1,0,"SP",2,56,5,"Gen-X","Poor"
"46",45,9595,60,"Graduation","Together",64260,0,0,"1/11/13",1,539,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,1,0,"SP",0,1574,13,"Boomers","Middle"
"47",46,3158,48,"Graduation","Married",32300,1,0,"1/3/13",1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0,"SP",1,39,4,"Gen-X","Lower-Middle"
"48",47,5114,56,"Master","Married",74806,0,1,"12/19/12",1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,"AUS",1,965,14,"Gen-X","Middle"
"49",48,340,51,"Graduation","Divorced",72967,0,1,"12/15/12",1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,1,0,"GER",1,497,17,"Gen-X","Middle"
"50",49,8805,61,"Graduation","Single",48904,0,1,"12/2/12",1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,0,"US",1,371,13,"Boomers","Lower-Middle"
"51",50,1241,37,"2n Cycle","Married",14796,1,0,"9/17/12",1,13,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,1,0,"GER",1,51,4,"Millennials","Poor"
"52",51,1402,67,"Master","Married",66991,0,0,"9/11/12",1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,"GER",0,1253,18,"Boomers","Middle"
"53",52,7264,43,"2n Cycle","Single",52195,2,1,"5/12/14",2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,"SA",3,17,3,"Gen-X","Middle"
"54",53,1619,65,"Graduation","Married",90369,0,0,"4/28/14",2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,0,"SP",0,1588,16,"Boomers","Middle"
"55",54,6398,47,"Basic","Married",18393,1,0,"3/29/14",2,7,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,0,"SP",1,50,6,"Gen-X","Poor"
"56",55,1857,69,"Graduation","Single",47139,1,1,"3/6/14",2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,1,0,"SP",2,83,5,"Boomers","Lower-Middle"
"57",56,4877,48,"Master","Married",38576,0,1,"3/4/14",2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0,"IND",1,41,4,"Gen-X","Lower-Middle"
"58",57,3066,46,"PhD","Together",61905,0,1,"2/4/14",2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,"SA",1,231,10,"Gen-X","Middle"
"59",58,10286,59,"Graduation","Married",83715,0,0,"2/3/14",2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0,"SA",0,926,23,"Boomers","Middle"
"60",59,1992,57,"Graduation","Married",60597,0,1,"1/1/14",2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,1,0,"SP",1,893,12,"Gen-X","Middle"
"61",60,4246,39,"Master","Single",6560,0,0,"12/12/13",2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,0,"SP",0,373,2,"Millennials","Poor"
"62",61,10623,60,"Master","Together",48330,0,1,"11/15/13",2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,"SP",1,32,4,"Boomers","Lower-Middle"
"63",62,4867,53,"PhD","Single",38236,1,1,"9/20/13",2,58,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,0,0,"SP",2,88,7,"Gen-X","Lower-Middle"
"64",63,3112,44,"Master","Married",22701,1,0,"9/5/13",2,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,0,0,"SP",1,24,4,"Gen-X","Poor"
"65",64,4865,47,"Master","Divorced",53367,1,1,"8/31/13",2,229,7,140,10,3,11,7,5,1,8,7,0,0,0,0,0,1,0,"AUS",2,400,14,"Gen-X","Middle"
"66",65,6287,35,"Graduation","Together",34728,1,0,"7/30/13",2,14,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,1,0,"SP",1,36,4,"Millennials","Lower-Middle"
"67",66,4405,65,"Master","Married",63915,0,2,"7/30/13",2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,0,0,"AUS",2,789,21,"Boomers","Middle"
"68",67,5332,61,"2n Cycle","Married",82504,0,0,"7/27/13",2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0,"IND",0,1066,16,"Boomers","Middle"
"69",68,1519,49,"PhD","Single",38578,1,1,"6/22/13",2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,0,"SP",2,73,6,"Gen-X","Lower-Middle"
"70",69,9080,49,"PhD","Single",38578,1,1,"6/22/13",2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0,"SP",2,73,6,"Gen-X","Lower-Middle"
"71",70,1772,46,"PhD","Married",79174,0,0,"1/11/13",2,1074,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,1,0,"CA",0,2043,18,"Gen-X","Middle"
"72",71,5341,59,"2n Cycle","Divorced",81975,0,1,"1/5/13",2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,"SA",1,1588,13,"Boomers","Middle"
"73",72,5510,44,"Master","Married",43263,0,1,"11/21/12",2,262,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,0,"SP",1,441,13,"Gen-X","Lower-Middle"
"74",73,3887,51,"Graduation","Single",27242,1,0,"11/11/12",2,3,17,26,20,1,39,2,2,0,3,9,0,0,0,0,0,1,0,"IND",1,106,5,"Gen-X","Poor"
"75",74,7022,50,"Graduation","Married",76445,1,0,"9/28/12",2,739,107,309,140,80,35,1,2,5,13,6,0,0,0,0,0,0,0,"SA",1,1410,20,"Gen-X","Middle"
"76",75,9999,56,"Graduation","Together",75276,0,0,"9/27/12",2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0,"SP",0,1040,22,"Gen-X","Middle"
"77",76,10352,58,"Graduation","Widow",34213,1,1,"9/7/12",2,50,4,28,6,3,26,3,3,1,2,9,0,0,0,0,0,1,0,"SA",2,117,6,"Gen-X","Lower-Middle"
"78",77,7919,45,"PhD","Together",72335,0,0,"8/13/12",2,1285,105,653,28,21,0,1,10,4,8,8,0,0,0,0,0,1,0,"SP",0,2092,22,"Gen-X","Middle"
"79",78,4114,57,"Master","Married",79143,0,0,"8/11/12",2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,"AUS",0,1693,28,"Gen-X","Middle"
"80",79,7990,74,"Graduation","Married",27469,0,0,"8/2/12",2,9,1,2,3,2,0,1,0,0,3,6,0,0,0,0,0,0,0,"CA",0,17,3,"Boomers","Poor"
"81",80,9888,52,"Graduation","Together",68695,0,0,"6/25/14",3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,"SP",0,1091,15,"Gen-X","Middle"
"82",81,4399,52,"Graduation","Together",68695,0,0,"6/25/14",3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,"CA",0,1091,15,"Gen-X","Middle"
"83",82,4452,64,"Graduation","Single",50388,0,1,"5/28/14",3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,1,0,"GER",1,372,13,"Boomers","Middle"
"84",83,4785,51,"PhD","Together",77622,0,2,"4/14/14",3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,"SA",2,714,20,"Gen-X","Middle"
"85",84,8461,59,"Graduation","Divorced",46102,2,1,"3/10/14",3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,"SP",3,16,3,"Boomers","Lower-Middle"
"86",85,3878,41,"2n Cycle","Single",31859,1,0,"2/27/14",3,3,4,7,15,8,11,1,1,0,3,7,0,0,0,0,0,0,0,"SP",1,48,4,"Millennials","Lower-Middle"
"87",86,9612,34,"2n Cycle","Single",23830,0,0,"2/7/14",3,1,8,6,4,8,16,1,1,0,3,7,0,0,0,0,0,0,0,"SP",0,43,4,"Millennials","Poor"
"88",87,4098,48,"Graduation","Married",24639,1,1,"1/28/14",3,20,3,16,0,4,1,3,2,0,4,6,0,0,0,0,0,0,0,"AUS",2,44,6,"Gen-X","Poor"
"89",88,158,76,"PhD","Together",71604,0,0,"11/17/13",3,345,53,528,98,75,97,1,8,3,5,4,1,0,0,0,0,1,0,"SP",0,1196,16,"Boomers","Middle"
"90",89,3896,37,"Graduation","Married",27255,1,0,"11/7/13",3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,"SP",1,37,4,"Millennials","Poor"
"91",90,9970,44,"Graduation","Together",55375,0,1,"10/17/13",3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,"CA",1,162,8,"Gen-X","Middle"
"92",91,4002,61,"PhD","Married",77037,0,1,"10/13/13",3,463,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,0,0,"SP",1,1123,26,"Boomers","Middle"
"93",92,10914,51,"Graduation","Single",24163,1,1,"10/12/13",3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,0,"SP",2,17,4,"Gen-X","Poor"
"94",93,7279,52,"PhD","Together",69476,0,0,"9/30/13",3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,"US",0,1044,14,"Gen-X","Middle"
"95",94,10582,42,"Graduation","Married",72063,0,1,"7/3/13",3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,0,"GER",1,758,19,"Millennials","Middle"
"96",95,4470,59,"Master","Married",58646,0,1,"6/10/13",3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,"SP",1,140,7,"Boomers","Middle"
"97",96,6183,59,"Master","Married",58646,0,1,"6/10/13",3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,"GER",1,140,7,"Boomers","Middle"
"98",97,6379,72,"Master","Widow",47570,1,1,"5/29/13",3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,1,0,"US",2,121,6,"Boomers","Lower-Middle"
"99",98,8601,41,"Graduation","Married",80011,0,1,"4/29/13",3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,"AUS",1,1395,19,"Millennials","Middle"
"100",99,4827,65,"PhD","Single",54998,0,1,"3/10/13",3,154,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,1,0,"SP",1,455,15,"Boomers","Middle"
"101",100,6715,73,"PhD","Single",60200,0,1,"1/2/13",3,502,19,132,0,6,26,6,6,2,11,6,0,0,0,0,0,0,0,"SP",1,685,19,"Boomers","Middle"
"102",101,10676,39,"Graduation","Married",63211,0,0,"11/2/12",3,145,193,459,205,26,145,2,3,8,7,2,0,0,0,0,0,1,0,"SP",0,1173,18,"Millennials","Middle"
"103",102,1041,48,"PhD","Single",48432,0,1,"10/18/12",3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,"SA",1,424,14,"Gen-X","Lower-Middle"
"104",103,492,48,"PhD","YOLO",48432,0,1,"10/18/12",3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,0,0,"CA",1,424,14,"Gen-X","Lower-Middle"
"105",104,11133,48,"PhD","YOLO",48432,0,1,"10/18/12",3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,"IND",1,424,14,"Gen-X","Lower-Middle"
"106",105,4491,72,"Master","Married",62845,1,1,"10/1/12",3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0,0,"SP",2,1178,17,"Boomers","Middle"
"107",106,873,72,"Master","Married",62845,1,1,"10/1/12",3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,1,0,"SP",2,1178,17,"Boomers","Middle"
"108",107,1631,56,"PhD","Together",65220,0,0,"9/3/12",3,890,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,1,0,"GER",0,1282,19,"Gen-X","Middle"
"109",108,8278,31,"PhD","Married",74214,0,0,"8/26/12",3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0,"SP",0,1711,15,"Millennials","Middle"
"110",109,6815,41,"2n Cycle","Married",96547,0,0,"5/23/14",4,448,21,125,52,101,62,0,7,6,8,2,1,0,1,1,0,1,0,"SP",0,809,21,"Millennials","Middle"
"111",110,254,66,"Graduation","Together",53863,0,1,"5/17/14",4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,"SP",1,473,15,"Boomers","Middle"
"112",111,1349,51,"Graduation","Married",50447,2,0,"4/21/14",4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,"IND",2,148,7,"Gen-X","Middle"
"113",112,2534,68,"Graduation","Married",37716,0,1,"4/21/14",4,97,1,41,6,2,41,2,4,1,3,7,0,0,0,0,0,0,0,"AUS",1,188,8,"Boomers","Lower-Middle"
"114",113,2130,39,"Graduation","Together",45203,2,0,"3/23/14",4,35,3,67,10,8,24,1,3,1,3,6,0,0,0,0,0,1,0,"SA",2,147,7,"Millennials","Lower-Middle"
"115",114,2296,46,"Master","Married",37368,1,0,"12/16/13",4,3,2,11,2,2,10,1,1,0,2,6,1,0,0,0,0,0,0,"SP",1,30,3,"Gen-X","Lower-Middle"
"116",115,3799,66,"Graduation","Married",67225,0,1,"11/26/13",4,315,35,322,46,7,143,3,7,2,11,5,0,0,0,0,0,0,0,"US",1,868,20,"Boomers","Middle"
"117",116,11084,45,"Master","Together",65104,0,1,"11/14/13",4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1,0,"CA",1,1053,15,"Gen-X","Middle"
"118",117,5172,45,"Master","Together",65104,0,1,"11/14/13",4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,"SP",1,1053,15,"Gen-X","Middle"
"119",118,9504,72,"Master","Married",81698,0,0,"11/6/13",4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,1,0,"SP",0,1008,24,"Boomers","Middle"
"120",119,850,53,"Graduation","Single",70566,0,1,"10/6/13",4,381,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,0,"SP",1,757,20,"Gen-X","Middle"
"121",120,4477,63,"Graduation","Together",69096,0,1,"9/27/13",4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,"GER",1,653,17,"Boomers","Middle"
"122",121,1945,59,"Graduation","Married",71434,0,1,"9/18/13",4,711,36,217,172,96,168,3,7,4,7,4,0,1,0,1,0,0,0,"SP",1,1400,18,"Boomers","Middle"
"123",122,7685,43,"Graduation","Married",33039,1,0,"9/9/13",4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,"SP",1,78,6,"Gen-X","Lower-Middle"
"124",123,6310,43,"Graduation","Married",33039,1,0,"9/9/13",4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,"CA",1,78,6,"Gen-X","Lower-Middle"
"125",124,10832,63,"Graduation","Together",46610,0,0,"7/18/13",4,288,10,30,4,10,125,1,6,1,6,6,0,0,0,0,0,0,0,"SP",0,467,13,"Boomers","Lower-Middle"
"126",125,3025,63,"Graduation","Single",49967,0,1,"7/8/13",4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,"CA",1,306,12,"Boomers","Lower-Middle"
"127",126,2404,45,"Graduation","Married",53359,1,1,"5/27/13",4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,"US",2,257,10,"Gen-X","Middle"
"128",127,8581,50,"Master","Married",49505,1,1,"3/5/13",4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0,"SP",2,751,20,"Gen-X","Lower-Middle"
"129",128,8755,75,"Master","Married",68657,0,0,"2/20/13",4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,"AUS",0,1196,17,"Boomers","Middle"
"130",129,10177,67,"Graduation","Divorced",72071,0,1,"2/14/13",4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,"SP",1,1338,17,"Boomers","Middle"
"131",130,2429,67,"Graduation","Divorced",72071,0,1,"2/14/13",4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,"CA",1,1338,17,"Boomers","Middle"
"132",131,8920,54,"Master","Single",59235,1,0,"1/12/13",4,448,40,469,80,0,91,3,11,2,12,7,0,0,0,0,0,0,0,"IND",1,1128,25,"Gen-X","Middle"
"133",132,8430,64,"Graduation","Together",21994,0,1,"12/24/12",4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,"AUS",1,22,3,"Boomers","Poor"
"134",133,8619,64,"Graduation","Together",21994,0,1,"12/24/12",4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,"SP",1,22,3,"Boomers","Poor"
"135",134,8996,64,"PhD","Married",51381.5,2,1,"11/19/12",4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,"GER",3,603,17,"Boomers","Middle"
"136",135,7233,49,"Graduation","Married",69209,0,0,"9/17/12",4,496,32,849,229,48,128,2,5,3,6,4,0,0,0,1,0,0,0,"CA",0,1782,14,"Gen-X","Middle"
"137",136,6678,32,"Graduation","Together",31928,1,0,"3/28/14",5,33,4,24,4,2,5,2,3,0,4,7,0,0,0,0,0,0,0,"IND",1,72,7,"Millennials","Lower-Middle"
"138",137,830,34,"PhD","Single",74004,0,0,"2/24/14",5,784,48,560,42,176,48,1,4,6,4,3,0,0,1,1,0,1,0,"IND",0,1658,14,"Millennials","Middle"
"139",138,6365,34,"2n Cycle","Married",30390,0,0,"9/2/13",5,10,12,12,25,1,20,1,2,0,3,6,0,0,0,0,0,0,0,"IND",0,80,5,"Millennials","Lower-Middle"
"140",139,6770,36,"Graduation","Married",21355,1,0,"8/20/13",5,5,13,14,0,5,31,2,2,1,2,6,1,0,0,0,0,1,0,"US",1,68,5,"Millennials","Poor"
"141",140,2261,52,"Graduation","Married",26304,1,0,"6/23/13",5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,"GER",1,16,3,"Gen-X","Poor"
"142",141,1031,32,"2n Cycle","Married",85710,0,0,"5/5/13",5,600,20,350,29,30,33,1,6,9,10,2,0,0,1,0,0,0,0,"IND",0,1062,25,"Millennials","Middle"
"143",142,10089,47,"Graduation","Divorced",102692,0,0,"4/5/13",5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,1,0,"SA",0,1112,28,"Gen-X","Upper-Middle"
"144",143,9256,50,"Graduation","Single",58350,0,1,"1/4/13",5,493,26,206,116,80,80,4,8,3,12,6,0,0,0,0,0,0,0,"SP",1,1001,23,"Gen-X","Middle"
